district,hour,pm10,pm25,o3,no2,co,so2
노원구,20,34.00276243093923,18.318435754189945,0.03489752747252747,0.01987032967032967,0.4157142857142857,0.0024796143250688705
노원구,21,34.42817679558011,19.461971830985917,0.03183351648351648,0.02056868131868132,0.42439560439560436,0.002478512396694215
노원구,22,33.328729281767956,18.532212885154063,0.02928104395604396,0.021202472527472527,0.43414835164835164,0.00248099173553719
노원구,23,33.80386740331492,19.527932960893853,0.02776565934065934,0.020687362637362636,0.42750000000000005,0.002446556473829201
도봉구,0,28.397759103641455,15.801749271137027,0.033104958677685946,0.014771349862258953,0.4255371900826446,0.002777094972067039
도봉구,1,29.584958217270195,16.31286549707602,0.031618732782369145,0.0144732782369146,0.4257300275482093,0.002757422969187675
도봉구,2,27.59556786703601,15.583090379008746,0.030409366391184574,0.01379449035812672,0.42168044077134986,0.0027324929971988795
도봉구,3,27.345303867403317,15.536656891495602,0.028994490358126724,0.013574380165289257,0.4194765840220386,0.0026980392156862746
도봉구,4,27.022038567493112,15.285294117647059,0.028198071625344354,0.013160330578512396,0.41504132231404955,0.0026753501400560223
도봉구,5,26.87845303867403,15.413489736070382,0.02654104683195592,0.013724517906336088,0.4182644628099174,0.0026596638655462185
도봉구,6,27.348189415041784,15.837278106508876,0.024211845730027548,0.015353443526170798,0.4330578512396694,0.002661624649859944
도봉구,7,27.662952646239553,15.830409356725147,0.021479063360881543,0.017954545454545456,0.452534435261708,0.00267703081232493
도봉구,8,28.4,16.392330383480825,0.02118374655647383,0.019534159779614327,0.4719834710743802,0.002722128851540616
도봉구,9,30.308539944903583,17.24926686217009,0.024450964187327826,0.019038842975206614,0.4825895316804408,0.0027955182072829134
도봉구,10,31.47486033519553,17.6875,0.029857777777777775,0.017229166666666667,0.46580555555555553,0.002857627118644068
도봉구,11,31.885057471264368,16.89156626506024,0.03631235955056179,0.014790168539325842,0.4298028169014085,0.0028886039886039886
도봉구,12,31.04385964912281,16.125766871165645,0.04221656976744186,0.01259011627906977,0.4024781341107872,0.002902064896755162
도봉구,13,31.023054755043226,16.06006006006006,0.046672413793103454,0.011341091954022988,0.3924425287356322,0.0028897959183673467
도봉구,14,30.807365439093484,15.736686390532544,0.05018538681948424,0.010158452722063038,0.3762750716332378,0.0028729651162790696
도봉구,15,30.289693593314762,15.058823529411764,0.0525188202247191,0.009288202247191011,0.3611516853932584,0.0028566951566951567
도봉구,16,30.15536723163842,14.789940828402367,0.05304512534818941,0.009177437325905292,0.354958217270195,0.002845352112676056
도봉구,17,29.853521126760562,14.803571428571429,0.052053631284916205,0.009913966480446927,0.35740223463687154,0.002851129943502825
도봉구,18,29.369444444444444,14.321637426900585,0.0488475138121547,0.011297513812154695,0.3695303867403315,0.0028411764705882354
도봉구,19,28.52354570637119,14.623906705539358,0.04516611570247934,0.012339669421487605,0.384931129476584,0.0028329608938547487
도봉구,20,28.944289693593316,15.02046783625731,0.04178397790055249,0.013189807162534433,0.3971349862258953,0.002825418994413408
도봉구,21,28.808333333333334,15.694767441860465,0.03941906077348066,0.0136801652892562,0.40771349862258954,0.002817597765363128
도봉구,22,28.83656509695291,15.912536443148689,0.036794765840220386,0.014549311294765839,0.4171349862258953,0.002796368715083799
도봉구,23,28.72853185595568,16.12316715542522,0.03420193370165746,0.015389807162534436,0.42443526170798895,0.0027804469273743017
동대문구,0,33.11602209944751,18.668508287292816,0.027032417582417582,0.020789285714285715,0.4200824175824176,0.0024445054945054947
동대문구,1,33.43490304709141,18.906077348066297,0.026067857142857143,0.020279395604395605,0.4173076923076923,0.0024362637362637363
동대문구,2,32.59668508287293,18.560773480662984,0.02585013774104683,0.019049999999999997,0.4082142857142857,0.0024203296703296704
동대문구,3,32.610497237569064,18.84254143646409,0.02507362637362637,0.01836565934065934,0.4015384615384615,0.0023777472527472527
동대문구,4,31.58839779005525,18.204419889502763,0.024496978021978023,0.017666483516483516,0.38815934065934066,0.002343131868131868
동대문구,5,31.7292817679558,18.61049723756906,0.023284065934065935,0.017877197802197802,0.38184065934065936,0.002307142857142857
동대문구,6,31.433701657458563,18.3121546961326,0.020859065934065932,0.01976126373626374,0.3898626373626374,0.002312362637362637
동대문구,7,32.038781163434905,18.53867403314917,0.018918131868131866,0.022023076923076926,0.4012637362637363,0.002320054945054945
동대문구,8,31.634349030470915,17.549723756906076,0.01904478021978022,0.023216483516483515,0.4189010989010989,0.0023865384615384616
동대문구,9,32.850828729281766,17.81767955801105,0.02212252747252747,0.022232967032967035,0.42445054945054944,0.0024782967032967035
