name,longitude,latitude,address
황학어린이공원,127.018215543,37.567465676,서울특별시 중구 다산로48길 33
응봉근린공원,127.0166667,37.55194444,서울특별시 성동구 금호산9가길 57-9
응봉근린공원,127.0166667,37.55166667,서울특별시 성동구 동호로 100
응봉근린공원,127.0169444,37.55222222,서울특별시 성동구 매봉18길 79
중앙소공원,126.9474722,37.59872222,서울특별시 서대문구 홍은중앙로8길 2-9
신용산초등학교,126.9761111,37.52,서울특별시 용산구 이촌로 255
다산어린이공원,127.0189167,37.56408333,서울특별시 중구 다산로42다길 5
궁뜰 어린이 공원,126.930457946,37.568954227,서울특별시 서대문구 연희로15길 31
숭인공원,127.01725,37.57727778,서울특별시 종로구 지봉로12길 22
성동구-옥정소공원,127.01530795,37.545656887,서울특별시 성동구 매봉길 21
용산가족공원,126.984714285,37.520661292,서울특별시 용산구 서빙고로 185
숭인공원,127.018,37.57619444,서울특별시 종로구 종로63가길 43-9
한남더힐마을마당,127.009523956,37.535618984,서울특별시 용산구 독서당로 111
한강시민공원(이촌지구),126.964428295,37.520036993,서울특별시 용산구 이촌동 360
한강시민공원(이촌지구),126.958253336,37.521861111,서울특별시 용산구 이촌동 380
숭인공원,127.0183056,37.57677778,서울특별시 종로구 종로63가길 59-3
숭인공원,127.018234805,37.577220587,서울특별시 종로구 동망산길 150
홍박소공원,126.9488056,37.60155556,서울특별시 서대문구 홍은중앙로9길 52-3
달맞이근린공원,127.020450629,37.545146087,서울특별시 성동구 독서당로44길 25
한강시민공원(이촌지구),126.983082242,37.515277582,서울특별시 용산구 용산동6가 452-1
와우근린공원(서강 어린이),126.9271788,37.549847855,서울특별시 마포구 와우산로30길 135
한강시민공원(이촌지구),126.986080251,37.515784156,서울특별시 용산구 용산동6가 450-1
성북천공원,127.0170833,37.59008333,서울특별시 성북구 고려대로7길 120
무학봉근린공원,127.024682819,37.562327164,서울특별시 중구 난계로6길 8
한강시민공원(이촌안내센터),127.018771218,37.540488279,서울특별시 성동구 옥수동 490-6
한강시민공원(이촌지구),126.987986637,37.515830743,서울특별시 용산구 서빙고동 291-2
성동구-견우어린이공원,127.024778405,37.566441305,서울특별시 성동구 왕십리로 410
백련근린공원(논골지구),126.935110408,37.595023134,서울특별시 서대문구 연희로41길 142
무학봉근린공원,127.0248611,37.56222222,서울특별시 중구 난계로6길 8
궁둥 근린공원(샘터),126.9248889,37.57066667,서울특별시 서대문구 연희로11아길 20-22
이촌한강공원,127.019614144,37.541429118,서울특별시 성동구 동호로 21
홍연 어린이공원,126.9269167,37.58013889,서울특별시 서대문구 증가로10길 96-9
홍록배드민턴장,126.9409444,37.60161111,서울특별시 서대문구 홍은동 산 1-85
참샘골어린이공원,126.9746389,37.61491667,서울특별시 종로구 평창길 272
논골새싹어린이공원,127.0250833,37.55697222,서울특별시 성동구 행당로5길 15-1
꿈나라어린이공원,127.023104511,37.579894826,서울특별시 성북구 안암로1길 22
성북천공원,127.02315158,37.580949591,서울특별시 성북구 안암로5길 44-1
백련근린공원,126.934590978,37.596302804,서울특별시 서대문구 연희로41길 162
서대문구-연남어린이공원,126.925270409,37.578326946,서울특별시 서대문구 증가로8길 36
동교어린이 공원,126.9233333,37.56019444,서울특별시 마포구 연남로 3
와우 어린이공원,126.9253889,37.54880556,서울특별시 마포구 독막로19길 20-13
연서 어린이공원,126.9232222,37.57219444,서울특별시 서대문구 홍제천로 70-1
홍제천변 음수대,126.9233611,37.57344444,서울특별시 서대문구 모래내로 213
무학봉어린이공원,127.027,37.562,서울특별시 성동구 난계로 114-31
무학봉어린이공원,127.027102017,37.561597772,서울특별시 성동구 왕십리로31길 29
무학봉어린이공원,127.0273889,37.56275,서울특별시 성동구 왕십리로31길 21-1
이촌한강공원,127.022782816,37.542446973,서울특별시 성동구 금호동4가 1524-1
이촌한강공원,127.023427549,37.543414024,서울특별시 성동구 금호동4가 1523-2
한강시민공원(여의도안내센터),126.938628636,37.52472139,서울특별시 영등포구 여의동로 280
성동구-꽃재어린이공원,127.028263846,37.56723495,서울특별시 성동구 마장로 161
한강시민공원(여의도안내센터),126.937131246,37.525191979,서울특별시 영등포구 여의도동 85
응봉근린공원,127.027868565,37.554061049,서울특별시 성동구 독서당로57가길 24
용두5구역어린이공원,127.028540174,37.571002337,서울특별시 동대문구 청계천로 461
성북천,127.0281389,37.57433333,서울특별시 동대문구 천호대로9길 6
노들나루공원(노량진배수지시민공원),126.9543333,37.51361111,서울특별시 동작구 노량진로 247
응봉근린공원,127.02822555,37.553555466,서울특별시 성동구 독서당로57가길 24
명물소공원,126.9391389,37.55897222,서울특별시 서대문구 명물길 49
한강시민공원(이촌지구),126.959045998,37.521400547,서울특별시 용산구 양녕로 495
성북근린공원,127.00725,37.59641667,서울특별시 성북구 성북동 168-274
현석어린이공원,126.9333333,37.54430556,서울특별시 마포구 신수로 27-8
한강시민공원(이촌지구),126.966045256,37.519025785,서울특별시 용산구 이촌동 370-1
와우산 체육공원,126.93025,37.55227778,서울특별시 마포구 와우산로30길 81
한강시민공원(이촌지구),126.969150482,37.518379541,서울특별시 용산구 이촌동 302-17
연희푸르지오공원,126.930028875,37.5765933,서울특별시 서대문구 홍연길 63-4
금호근린공원,127.0188889,37.54972222,서울특별시 성동구 금호산9길 9
동망봉어린이공원,127.0170556,37.58377778,서울특별시 성북구 보문사길 30
홍제천변 음수대,126.9299722,37.57755556,서울특별시 서대문구 모래내로 285
현석동 마을마당,126.9335,37.54208333,서울특별시 마포구 신수로3길 3-11
대현산배수지공원,127.021031853,37.556036763,서울특별시 성동구 금호로 166-1
이촌한우리공원,126.981307035,37.517534453,서울특별시 용산구 이촌로 318
한강시민공원(이촌지구),126.9691667,37.51722222,서울특별시 용산구 이촌로72길 62
서강나루문화공원,126.9312778,37.54536111,서울특별시 마포구 토정로 185
한강시민공원망원지구,126.9330278,37.54172222,서울특별시 마포구 현석동 218
대현산배수지공원,127.021673668,37.558360341,서울특별시 중구 신당동 36
한강시민공원(이촌지구),126.9694444,37.51694444,서울특별시 용산구 이촌로72길 62
서대문구-홍남어린이공원,126.929213198,37.57811398,서울특별시 서대문구 증가로4길 81
현충원,126.977387965,37.501434742,서울특별시 동작구 현충로 210
북한산 호박골지구,126.9471667,37.60302778,서울특별시 서대문구 홍은중앙로9나길 55-27
한강시민공원(이촌지구),126.971998246,37.51652425,서울특별시 용산구 이촌동 302-17
숭인어린이놀이터,127.0204444,37.57788889,서울특별시 종로구 숭인동1나길 19-12
한강시민공원(이촌지구),126.972955294,37.516402335,서울특별시 용산구 이촌동 302-133
정원소공원,126.9323889,37.58641667,서울특별시 서대문구 연희로39길 78
북한산 홍은한마당,126.9442778,37.60113889,서울특별시 서대문구 홍은중앙로3길 84
궁동산 놀이터,126.9275833,37.57291667,서울특별시 서대문구 연희로11자길 14-42
북한산 돌산축구장,126.9466111,37.60313889,서울특별시 서대문구 홍은동 10-305
한강시민공원(이촌지구),126.975,37.51583333,서울특별시 용산구 이촌동 338-1
한강시민공원(이촌지구),127.007376036,37.528333871,서울특별시 용산구 한남동 782-1
한강시민공원(이촌지구),126.978244914,37.515666429,서울특별시 용산구 이촌동 363-1
감나무골어린이공원,126.9706111,37.61263889,서울특별시 종로구 평창길 212-6
백련근린공원,126.933578142,37.590191362,서울특별시 서대문구 연희로41가길 21-8
백련근린공원,126.93210333,37.587885854,서울특별시 서대문구 연희로39나길 30
미소어린이공원,127.0234167,37.55975,서울특별시 성동구 난계로 73
한강시민공원(이촌지구),126.98019996,37.515222118,서울특별시 용산구 이촌동 363-1
노들섬,126.958490327,37.517646118,서울특별시 용산구 양녕로 445
한강시민공원(이촌지구),127.002144503,37.52321703,서울특별시 용산구 보광동 445-1
한강시민공원(이촌지구),126.986840909,37.516244901,서울특별시 용산구 서빙고동 288
명물소공원,126.9391111,37.55897222,서울특별시 서대문구 명물길 49
낙산공원,127.0070278,37.58025,서울특별시 종로구 낙산길 54
청계천,127.010378358,37.569822004,서울특별시 종로구 청계천로 295
낙산공원,127.0085833,37.57688889,서울특별시 종로구 낙산성곽서길 103-2
인왕산 쌈지마당,126.950304783,37.591027574,서울특별시 서대문구 문화촌2길 26
성북동쉼터,126.9981111,37.592,서울특별시 종로구 혜화로 63
홍제아이파크놀이터,126.944146973,37.584378376,서울특별시 서대문구 모래내로24길 1
낙산공원,127.00675,37.58216667,서울특별시 성북구 삼선교로4길 114-14
창이어린이놀이터,127.008599188,37.578638796,서울특별시 종로구 낙산성곽동길 69
경의선숲길,126.942212957,37.546424856,서울특별시 마포구 독막로 257
